	Expedition	Station	Type	Depth	DCM	merging	FISH
X50	PS99	41	Sediment	5000	No	Sediment	
X41	PS99	42	Sediment	5000	No	Sediment	
X32	PS99	43	Water	10	No	Surface-water	
X33	PS99	43	Water	28	Yes	Surface-water	1
X1	PS99	48	Ice	0	No	Sea-ice	1
X44	PS99	48	Water-FL	1000	No	Water-FL	
X45	PS99	48	Water-PA	1000	No	Water-PA	
X38	PS99	48	Sediment	5000	No	Sediment	
X4	PS99	51	Ice	0	No	Sea-ice	
X34	PS99	51	Water	5	No	Surface-water	
X35	PS99	51	Water	13	Yes	Surface-water	1
X39	PS99	51	Sediment	5000	No	Sediment	
X42	PS99	52	Sediment	5000	No	Sediment	
X8	PS99	53	Ice	0	No	Sea-ice	1
X43	PS99	53	Sediment	5000	No	Sediment	
X40	PS99	57	Sediment	5000	No	Sediment	
X14	PS99	59	Ice	0	No	Sea-ice	
X46	PS99	59	Water-FL	1000	No	Water-FL	
X47	PS99	59	Water-PA	1000	No	Water-PA	
X36	PS99	62	Water	10	No	Surface-water	
X37	PS99	62	Water	20	Yes	Surface-water	
X48	PS99	66	Water-FL	500	No	Water-FL	
X49	PS99	66	Water-PA	500	No	Water-PA	
X2	PS101	97	Water	50	No	Exclude	
X3	PS101	97	Water	200	No	Exclude	
X5	PS101	97	Water	400	No	Exclude	
X6	PS101	97	Water	600	No	Deep-water	
X7	PS101	97	Water	853	No	Deep-water	1
X9	PS101	126	Water	10	No	Surface-water	
X10	PS101	126	Water	200	No	Exclude	
X11	PS101	126	Water	400	No	Exclude	
X12	PS101	126	Water	600	No	Deep-water	
X13	PS101	126	Water	1000	No	Deep-water	
X15	PS101	149	Water	1.5	No	Surface-water	
X16	PS101	149	Water	200	No	Exclude	
X17	PS101	149	Water	400	No	Exclude	
X18	PS101	149	Water	600	No	Deep-water	
X19	PS101	149	Water	750	No	Deep-water	1
X20	PS101	172	Water	1	No	Surface-water	
X21	PS101	172	Water	200	No	Exclude	
X22	PS101	172	Water	400	No	Exclude	
X23	PS101	172	Water	600	No	Deep-water	
X24	PS101	172	Water	620	No	Deep-water	
X25	PS101	175	Water	10	No	Surface-water	
X26	PS101	175	Water	50	No	Exclude	
X27	PS101	175	Water	200	No	Exclude	
X28	PS101	175	Water	1000	No	Deep-water	
X29	PS101	175	Water	2000	No	Exclude	
X30	PS101	175	Water	3000	No	Exclude	
X31	PS101	175	Water	3230	No	Exclude	
