PANGAEA_sampleID,Type,Environment,Depth,Observed,Chao,Chao.cov,Shannon,Shannon.ext,Simpson,Simpson.ext,Sample.cov,Primer,SampleName
1,PS101/149,Water,Surface-water,1.5,677,902.938,0.749774624614315,40.977,41.252,11.79,11.792,99.72,V3V4,PS101/149.1.5
2,PS101/149,Water,Deep-water,600,2043,2474.684,0.825559950280521,263.093,270.762,42.883,42.921,98.91,V3V4,PS101/149.600
3,PS101/149,Water,Deep-water,750,2420,2845.628,0.850427392477161,258.108,263.68,39.644,39.665,99.23,V3V4,PS101/149.750
4,PS101/172,Water,Surface-water,1,514,788.809,0.651615283294182,42.267,42.724,12.336,12.339,99.54,V3V4,PS101/172.1
5,PS101/172,Water,Deep-water,600,2312,2755.46,0.839061354546972,228.25,232.088,41.099,41.117,99.44,V3V4,PS101/172.600
6,PS101/172,Water,Deep-water,620,2465,2966.172,0.831037444895306,274.882,279.899,49.015,49.041,99.36,V3V4,PS101/172.620
7,PS101/175,Water,Surface-water,10,769,864.924,0.889095458098053,68.751,69.587,24.132,24.146,99.56,V3V4,PS101/175.10
8,PS101/175,Water,Deep-water,1000,1891,2229.941,0.848004498773734,216.665,221.445,30.409,30.425,99.22,V3V4,PS101/175.1000
9,PS99/43,Water,Surface-water,10,807,1030.127,0.783398551829046,26.956,27.09,9.838,9.839,99.79,V3V4,PS99/43.10
10,PS99/43,Water,Surface-water,28,815,1069.063,0.762349833452285,17.862,17.953,5.434,5.434,99.78,V3V4,PS99/43.28
11,PS99/48,Ice,Sea-ice,0,518,600.462,0.862669078143163,48.973,49.272,17.886,17.891,99.78,V3V4,PS99/48.0
12,PS99/51,Water,Surface-water,5,370,519.895,0.711682166591331,38.426,39.292,18.344,18.369,98.96,V3V4,PS99/51.5
13,PS99/51,Water,Surface-water,13,424,613.765,0.690818147010664,30.122,30.841,11.068,11.076,98.86,V3V4,PS99/51.13
14,PS99/62,Water,Surface-water,10,915,1099.002,0.832573553096355,69.955,70.211,36.533,36.541,99.86,V3V4,PS99/62.10
15,PS99/62,Water,Surface-water,20,1026,1173.213,0.874521506324938,83.779,84.033,45.411,45.42,99.9,V3V4,PS99/62.20
16,PS99/48,Sediment,Sediment,5000,6863,7753.583,0.885139167272731,1838.334,1989.949,470.195,474.271,96.82,V3V4,PS99/48.5000
17,PS99/51,Sediment,Sediment,5000,6623,9482.435,0.698449290714885,1487.271,1680.364,369.933,373.095,93.58,V3V4,PS99/51.5000
18,PS99/57,Sediment,Sediment,5000,6658,8761.041,0.759955352337696,2411.099,2803.592,730.594,747.175,92.29,V3V4,PS99/57.5000
19,PS99/42,Sediment,Sediment,5000,7069,10126.974,0.698036748193488,1662.292,1889.897,396.606,400.187,93.26,V3V4,PS99/42.5000
20,PS99/52,Sediment,Sediment,5000,6402,9552.519,0.670189716450708,1739.213,2015.505,446.898,452.494,92.2,V3V4,PS99/52.5000
21,PS99/53,Sediment,Sediment,5000,7965,10257.956,0.77647047813424,1628.116,1780.05,377.068,379.271,95.67,V3V4,PS99/53.5000
22,PS99/51,Ice,Sea-ice,0,428,556.341,0.769312346204935,18.478,18.58,4.779,4.78,99.8,V3V4,PS99/51.0
23,PS99/41,Sediment,Sediment,5000,9029,11489.767,0.785829686537595,1891.509,2066.106,414.126,416.476,95.8,V3V4,PS99/41.5000
24,PS101/97,Water,Deep-water,600,1934,2432.638,0.795021700721603,243.602,251.747,42.62,42.664,98.68,V3V4,PS101/97.600
25,PS101/97,Water,Deep-water,853,2006,2586.456,0.77557862959973,287.742,298.361,49.483,49.544,98.48,V3V4,PS101/97.853
26,PS99/53,Ice,Sea-ice,0,432,517.998,0.833980053977042,62.738,63.107,22.581,22.591,99.82,V3V4,PS99/53.0
27,PS101/126,Water,Surface-water,10,653,887.886,0.735454776851983,42.821,43.117,11.462,11.464,99.71,V3V4,PS101/126.10
28,PS101/126,Water,Deep-water,600,2188,2645.721,0.826995741425494,291.778,298.725,40.781,40.808,99.14,V3V4,PS101/126.600
29,PS101/126,Water,Deep-water,1000,2256,2798.608,0.806115040048481,319.595,328.944,59.4,59.466,98.86,V3V4,PS101/126.1000
30,PS99/59,Ice,Sea-ice,0,386,456.722,0.845153069044189,37.027,37.227,16.832,16.838,99.81,V3V4,PS99/59.0
31,PS99/51,Sediment,Sediment,5000,11548,13091.721,0.882084181292895,1219.218,1258.41,231.203,231.436,98.86,V4V5,PS99/51.5000
32,PS99/48,Sediment,Sediment,5000,9828,11309.505,0.869003550553274,1708.692,1794.975,341.723,342.638,98.09,V4V5,PS99/48.5000
33,PS101/97,Water,Deep-water,600,1915,2168.12,0.883253694444957,339.519,347.084,115.474,115.722,99.33,V4V5,PS101/97.600
34,PS101/97,Water,Deep-water,853,1830,2338.116,0.782681440955025,351.479,363.871,119.125,119.508,98.64,V4V5,PS101/97.853
35,PS101/126,Water,Surface-water,10,433,559.065,0.774507436523481,34.421,34.705,11.71,11.714,99.65,V4V5,PS101/126.10
36,PS101/126,Water,Deep-water,600,1936,2270.556,0.8526545920911,375.278,384.246,129.96,130.282,99.22,V4V5,PS101/126.600
37,PS101/126,Water,Deep-water,1000,1975,2509.975,0.786860426896682,377.246,389.295,129.181,129.564,98.82,V4V5,PS101/126.1000
38,PS101/149,Water,Surface-water,1.5,480,622.187,0.771472242268,25.121,25.25,10.648,10.649,99.79,V4V5,PS101/149.1.5
39,PS101/149,Water,Deep-water,600,1990,2393.026,0.831583108583024,352.364,361.347,117.065,117.329,99.15,V4V5,PS101/149.600
40,PS101/149,Water,Deep-water,750,1961,2445.086,0.802016779777889,356.046,368.049,116.56,116.896,98.78,V4V5,PS101/149.750
41,PS99/48,Ice,Sea-ice,0,598,711.28,0.840737824766618,38.117,38.291,8.841,8.842,99.83,V4V5,PS99/48.0
42,PS101/172,Water,Surface-water,1,449,629.734,0.712999456913554,23.467,23.586,9.799,9.801,99.79,V4V5,PS101/172.1
43,PS101/172,Water,Deep-water,600,1888,2181.819,0.865333008833455,334.412,343.011,112.202,112.468,99.14,V4V5,PS101/172.600
44,PS101/172,Water,Deep-water,620,1726,2121.074,0.813738700299942,343.982,357.091,123.848,124.339,98.56,V4V5,PS101/172.620
45,PS101/175,Water,Surface-water,10,634,746.449,0.84935474493234,21.572,21.719,7.347,7.347,99.74,V4V5,PS101/175.10
46,PS101/175,Water,Deep-water,1000,1569,1880.938,0.834158276349353,363.545,376.112,146.548,147.256,98.77,V4V5,PS101/175.1000
