"","PANGAEA_sampleID","Type","Environment","Depth","Sequences","Observed","Chao1","Completness","Shannon","Simpson","Primer"
"X10","PS101/149","Water","Surface-water",1.5,73399,353,513.675380452474,68.8,3.68955165746385,0.91519239720295,"V3V4"
"X11","PS101/149","Water","Deep-water",600,47300,1279,1711.08078860415,74.7,5.49042113897625,0.976481642427993,"V3V4"
"X12","PS101/149","Water","Deep-water",750,73100,1340,1879.91632966726,71.3,5.46397906625452,0.974792512919819,"V3V4"
"X13","PS101/172","Water","Surface-water",1,38678,327,440.771743746198,74.1,3.72450152637372,0.919079181873107,"V3V4"
"X14","PS101/172","Water","Deep-water",600,89720,1269,1749.76513137849,72.5,5.34397697940166,0.975573697377969,"V3V4"
"X15","PS101/172","Water","Deep-water",620,89364,1328,1845.6893460899,72,5.52431125791817,0.979461426613258,"V3V4"
"X16","PS101/175","Water","Surface-water",10,39412,508,676.911553731735,75.1,4.19919929920628,0.958468977761774,"V3V4"
"X17","PS101/175","Water","Deep-water",1000,55975,1165,1545.74251596921,75.3,5.30712427669065,0.96722354822023,"V3V4"
"X18","PS99/43","Water","Surface-water",10,114122,350,534.844871488131,65.5,3.26785675631259,0.898291223732659,"V3V4"
"X19","PS99/43","Water","Surface-water",28,115326,346,546.403215404643,63.3,2.85698195215637,0.815980346541963,"V3V4"
"X1","PS99/48","Ice","Sea-ice",0,53906,329,435.808118897267,75.4,3.8690306038311,0.94385354103832,"V3V4"
"X20","PS99/51","Water","Surface-water",5,12791,310,360.065687235234,86.2,3.62832280558206,0.94519604729258,"V3V4"
"X21","PS99/51","Water","Surface-water",13,14286,343,407.688031307177,84.1,3.38995680232002,0.909654562311628,"V3V4"
"X22","PS99/62","Water","Surface-water",10,165711,375,572.533080940926,65.5,4.22044974047336,0.972537728375621,"V3V4"
"X23","PS99/62","Water","Surface-water",20,211652,408,626.849952163235,65.1,4.39569749558865,0.977869393804392,"V3V4"
"X24","PS99/48","Sediment","Sediment",5000,54594,3532,5612.2876243238,62.9,7.25351909466059,0.997808484328015,"V3V4"
"X25","PS99/51","Sediment","Sediment",5000,43530,3264,5418.55254597331,60.2,7.05108638081533,0.99723212063472,"V3V4"
"X26","PS99/57","Sediment","Sediment",5000,32878,3841,5782.52796016191,66.4,7.51788918709238,0.998561134044385,"V3V4"
"X27","PS99/42","Sediment","Sediment",5000,44212,3451,5747.31602188569,60.1,7.14751194918139,0.99741237414918,"V3V4"
"X28","PS99/52","Sediment","Sediment",5000,36052,3421,5448.63282335961,62.8,7.20709103217592,0.997680203288215,"V3V4"
"X29","PS99/53","Sediment","Sediment",5000,64748,3444,6009.80027021218,57.3,7.11242921399455,0.997279760480677,"V3V4"
"X2","PS99/51","Ice","Sea-ice",0,54504,268,359.978585668982,74.4,2.89756949195838,0.7899637986581,"V3V4"
"X30","PS99/41","Sediment","Sediment",5000,73209,3699,6635.10200628896,55.7,7.22551827647826,0.9974956210568,"V3V4"
"X3","PS101/97","Water","Deep-water",600,40645,1245,1651.4041695176,75.4,5.41950126900607,0.976568938484759,"V3V4"
