sample_title	Primer_set	Type	Depth	input	merged	tabled	Seq.prop	Final	Euk.Seq.prop	Phyl_uncl.Seq.prop	Chloroplast.Seq.prop	Mitochondria.Seq.prop	Observed	Chao1	Shannon	InvSimpson
1	PS99/48-Sea-ice-depth_0	V3V4	Sea ice	0	203532	102648	98200	39	79758	0	0	9	0	193	196	3.84	16
2	PS101/126-Surface-water-depth_10	V3V4	Surface water	10	157175	100811	96258	61	95260	0	0	1	0	255	255	4.04	19.23
3	PS101/126-Deep-water-depth_600	V3V4	Deep water	600	123536	75681	74382	60	73575	0	1	0	0	853	853	5.71	80.88
4	PS101/126-Deep-water-depth_1000	V3V4	Deep water	700	105208	64253	62440	59	61768	0	1	0	0	821	821	5.75	100.36
5	PS99/59-Sea-ice-depth_0	V3V4	Sea ice	0	148701	78601	75193	33	49382	0	0	17	0	149	149	3.93	27.22
6	PS101/149-Surface-water-depth_1.5	V3V4	Surface water	1.5	180309	119460	111931	62	111081	0	0	0	0	246	247.5	3.81	17.56
7	PS101/149-Deep-water-depth_600	V3V4	Deep water	600	91852	55859	54543	59	54102	0	0	0	0	695	695	5.52	73.49
8	PS101/149-Deep-water-depth_750	V3V4	Deep water	750	137247	86525	83195	60	82463	0	0	0	0	981	981.14	5.73	77.32
9	PS101/172-Surface-water-depth_1	V3V4	Surface water	1	91905	61518	60150	65	59949	0	0	0	0	208	208.33	3.76	16.89
10	PS101/172-Deep-water-depth_600	V3V4	Deep water	600	175332	109749	104401	59	103772	0	0	0	0	976	976.33	5.67	82.12
11	PS101/172-Deep-water-depth_620	V3V4	Deep water	620	172641	108531	103378	60	102751	0	0	0	0	1042	1042.5	5.85	102.41
12	PS99/51-Sea-ice-depth_0	V3V4	Sea ice	0	168177	91932	83660	29	48591	0	0	21	0	159	159	4.01	30.84
13	PS101/175-Surface-water-depth_10	V3V4	Surface water	10	116509	74334	71492	61	70774	0	0	1	0	317	317.25	3.76	15.04
14	PS101/175-Deep-water-depth_1000	V3V4	Deep water	1000	111497	68325	66243	59	65802	0	0	0	0	752	752	5.49	59
15	PS99/43-Surface-water-depth:10	V3V4	Surface water	10	203212	188030	183230	73	147622	0	0	18	0	343	343.46	3.59	14.49
16	PS99/43-Surface-water-depth:28	V3V4	Surface water	28	176436	164073	160202	60	106583	0	0	30	0	351	351	3.86	20.36
17	PS99/51-Surface-water-depth:5	V3V4	Surface water	5	49588	22918	22779	41	20129	0	0	5	0	115	115	3.04	8.11
18	PS99/51-Surface-water-depth:13	V3V4	Surface water	13	40614	19087	18996	30	12018	0	0	17	0	114	114	3.22	10.21
19	PS99/62-Surface-water-depth:10	V3V4	Surface water	10	242835	224423	219481	76	183404	0	0	15	0	430	430	4.34	36.61
20	PS99/62-Surface-water-depth:20	V3V4	Surface water	20	304914	281105	275111	82	250766	0	0	8	0	527	527.43	4.53	45.93
21	FRAM_2987_Fevi_32_oben_8	V3V4	Sediment trap	205	98381	59180	58701	59	58134	0	0	1	0	494	494	4.48	22.92
22	FRAM_2999_Fevi_32_oben_11	V3V4	Sediment trap	205	118201	70650	68657	58	68402	0	0	0	0	311	311	3.42	8.71
23	FRAM_3435_Fevi_26_unten_1_5	V3V4	Sediment trap	2356	206197	182542	172422	80	165454	0	0	3	0	916	916.13	4.14	17.48
24	FRAM_3031_Fevi_32_oben_19	V3V4	Sediment trap	205	68227	37154	36464	51	34710	0	0	3	0	186	186	3.65	13.86
25	PS99/48-Sediment-depth_5000	V3V4	Sediment	2604	108202	61067	58711	54	58276	0	0	0	0	1879	1879.13	6.76	367.84
26	PS99/51-Sediment-depth_5000	V3V4	Sediment	1002	74634	45342	43676	58	43354	0	0	0	0	1395	1395.09	6.5	306.18
27	PS99/57-Sediment-depth_5000	V3V4	Sediment	1540	70210	32033	30490	43	30133	0	0	0	0	1216	1216.78	6.63	489.54
28	PS99/42-Sediment-depth_5000	V3V4	Sediment	2460	81997	42550	41072	50	40874	0	0	0	0	1356	1356.02	6.55	356.34
29	PS99/52-Sediment-depth_5000	V3V4	Sediment	2620	62866	36278	34927	55	34663	0	0	0	0	1283	1283.26	6.55	370.9
30	PS99/53-Sediment-depth_5000	V3V4	Sediment	2604	104967	66749	64438	61	63776	0	0	0	0	1962	1962.63	6.78	412.14
31	PS99/41-Sediment-depth_5000	V3V4	Sediment	2344	127331	80434	77463	60	76941	0	0	0	0	2217	2218.15	6.92	450.36
32	FRAM_3443_Fevi_26_unten_2_5	V3V4	Sediment trap	2356	198754	177553	166859	82	162576	0	0	2	0	844	844.04	3.54	6.89
33	FRAM_3459_Fevi_26_unten_11_5	V3V4	Sediment trap	2356	142545	114504	111866	78	110475	0	0	1	0	2329	2329.06	6.19	48.48
34	FRAM_3467_Fevi_26_unten_12_5	V3V4	Sediment trap	2356	193984	156807	153004	78	150392	0	0	1	0	2758	2758.84	6.19	41.72
35	PS101/97-Deep-water-depth_600	V3V4	Deep water	600	85960	49954	47923	55	47386	0	0	0	0	594	594	5.4	72.54
36	PS101/97-Deep-water-depth_853	V3V4	Deep water	853	85965	49085	48201	55	47633	0	0	0	0	619	619	5.46	76.75
37	PS99/53-Sea-ice-depth_0	V3V4	Sea ice	0	157081	82119	78510	39	61932	0	0	11	0	212	212	4.53	55.16
38	FRAM_3435_Fevi_26_unten_1_5	V4V5	Sediment trap	2356	65137	51286	50669	74	48342	0	0	3	0	363	363	3.89	16.22
39	PS99/53-Sea-ice-depth:0	V4V5	Sea ice	0	166506	130680	128562	49	80945	0	0	23	6	240	240	4.33	44.62
40	PS99/59-Sea-ice-depth:0	V4V5	Sea ice	0	87520	63587	60338	30	26596	0	0	32	6	135	135	3.71	23.14
41	PS99/57-Sediment-depth:5000	V4V5	Sediment	1540	114563	74979	70319	61	69373	0	0	0	0	2096	2096.08	6.97	525.81
42	PS99/42-Sediment-depth:5000	V4V5	Sediment	2460	365571	273740	263190	71	260989	0	1	0	0	4468	4468.86	7.27	493.48
43	PS99/52-Sediment-depth:5000	V4V5	Sediment	2620	151719	108204	104553	68	103786	0	0	0	0	2453	2453.28	6.95	447.68
44	PS99/53-Sediment-depth:5000	V4V5	Sediment	2604	137113	93257	90387	65	89057	0	0	0	0	2079	2079.23	6.73	319.83
45	PS99/41-Sediment-depth:5000	V4V5	Sediment	2344	277631	202084	194826	70	193178	0	0	0	0	3697	3697.07	7.15	434.74
46	PS99/51-Sediment-depth:5000	V4V5	Sediment	1002	334946	250680	241281	71	238764	0	0	0	0	3985	3985.49	7.08	408.67
47	PS99/48-Sediment-depth:5000	V4V5	Sediment	2604	195846	137378	130331	66	128624	0	1	0	0	3082	3082.06	7.09	424.79
48	PS101/97-Deep-water-depth:600	V4V5	Deep water	600	114799	65865	64035	55	63283	0	0	0	0	668	668.5	5.4	71.99
49	FRAM_3443_Fevi_26_unten_2_5	V4V5	Sediment trap	2356	41562	31867	31646	74	30775	0	0	2	0	224	224	3.06	5.84
50	PS101/97-Deep-water-depth:853	V4V5	Deep water	853	85792	44273	44017	51	43583	0	0	0	0	508	508	5.26	67.21
51	PS101/126-Surface-water-depth:10	V4V5	Surface water	10	72239	45068	44892	59	42901	0	0	3	0	174	174	3.74	16.25
52	PS101/126-Deep-water-depth:600	V4V5	Deep water	600	110859	65722	65091	58	64623	0	0	0	0	695	695.2	5.43	60.39
53	PS101/126-Deep-water-depth:1000	V4V5	Deep water	700	96316	52752	52030	53	51431	0	0	0	0	604	604	5.43	83.76
54	PS101/149-Surface-water-depth:1.5	V4V5	Surface water	1.5	113152	76602	76345	66	74867	0	0	1	0	188	188	3.51	14.49
55	PS101/149-Deep-water-depth:600	V4V5	Deep water	600	113055	65472	63804	56	63344	0	0	0	0	695	696.5	5.42	71.28
56	PS101/149-Deep-water-depth:750	V4V5	Deep water	750	90230	49363	48137	53	47718	0	0	0	0	588	588	5.26	59.25
57	PS101/172-Surface-water-depth:1	V4V5	Surface water	1	112069	75899	75628	67	74639	0	0	1	0	195	195	3.47	13.13
58	PS101/172-Deep-water-depth:600	V4V5	Deep water	600	102200	58287	56602	55	56245	0	0	0	0	640	640	5.38	72.96
59	PS101/172-Deep-water-depth:620	V4V5	Deep water	620	65680	37463	36842	56	36623	0	0	0	0	504	505	5.28	74.87
60	FRAM_3459_Fevi_26_unten_11_5	V4V5	Sediment trap	2356	42799	30197	29151	59	25222	0	0	8	1	360	360	4.26	24.03
61	PS101/175-Surface-water-depth:10	V4V5	Surface water	10	99011	66239	66115	65	64664	0	0	1	0	233	233	3.22	8.88
