"","input","filtered","denoisedF","denoisedR","merged","nonchim","tabled"
"10",157175,123038,121813,121979,51665,49954,49953
"11",123536,94516,92947,92701,47233,46241,45085
"12",105208,81850,80050,79733,43475,42030,41197
"13",148701,101649,101169,101004,43264,40526,40526
"14",180309,143660,142456,142533,47990,46525,46525
"15",91852,71084,70027,69257,36852,35488,35024
"16",137247,106423,104734,104291,59652,56826,55997
"17",91905,72620,72096,72088,24048,23776,23776
"18",175332,136493,134497,134169,65813,61213,59737
"19",172641,134491,132445,132220,65533,61181,59864
"1",203532,136668,135853,135683,51739,49119,49119
"20",116509,89991,89027,88768,21249,21086,21085
"21",111497,86357,84903,84575,43963,42285,41652
"22",203212,171668,170969,170996,50947,50520,50520
"23",176436,148840,148262,148400,61416,60926,60906
"24",49588,31661,31401,31366,5766,5721,5721
"25",40614,25819,25454,25494,9869,9835,9835
"26",242835,206541,205051,205720,77126,75173,75040
"27",304914,258558,256656,257723,87770,85689,85282
"28",115898,89707,88028,88751,50417,45401,45140
"29",135559,103238,101588,101876,24625,24072,22959
"2",168177,115427,114949,114797,51394,48866,48865
"30",106577,82477,79631,80219,17878,17745,17660
"31",112089,86668,84189,84940,31316,29860,29785
"32",137709,114865,113915,113919,6304,6280,6259
"33",98381,77867,76182,75719,14281,14132,14131
"34",118201,94238,91948,91435,8795,8741,8733
"35",68227,51046,49990,49660,4433,4430,4393
"36",108202,88825,83357,83216,21896,21387,21358
"37",74634,63815,59266,59089,16733,16471,16436
"38",70210,55427,50189,50198,10932,10805,10783
"39",81997,64000,59255,59465,16157,15949,15936
"3",206197,198033,195080,195699,17002,16922,16919
"40",62866,52952,48664,48878,12791,12562,12552
"41",104967,89342,84304,84486,21524,21104,21058
"42",127331,109046,102774,103024,28410,27807,27745
"4",198754,190408,187639,188217,10412,10333,10322
"5",142545,136623,130665,131498,24654,24454,24422
"6",193984,184368,177680,178586,35032,34750,34718
"7",85960,66395,64940,64131,35606,33744,33342
"8",85965,65389,63543,63067,34976,34225,33484
"9",157081,107025,106240,106164,41316,38562,38562
