input	filtered	denoised	merged	nochim	tabled
11	123536	83085	80983	75458	74223	74189
12	105208	72667	70151	64158	62467	62437
14	180309	128209	126404	119476	111869	111869
15	91852	62683	61299	55794	54492	54461
16	137247	94769	92523	86541	83359	83333
17	91905	64880	64136	61519	60098	60098
18	175332	121593	118395	109550	104432	104395
19	172641	119514	116551	108541	103512	103475
20	116509	79412	77957	74347	71462	71461
21	111497	76152	73968	68300	66101	66100
24	49588	24034	23705	22907	22770	22770
25	40614	20100	19691	19088	18998	18998
28	115898	75212	73114	69076	63241	63241
29	135559	85375	83141	77550	74534	74533
30	106577	67994	64350	57609	56080	56079
31	112089	71838	68741	63177	59672	59671
13	148701	83433	82494	78747	75276	75276
1	203532	110440	108862	102705	98116	98116
2	168177	95708	94868	91611	83363	83363
9	157081	87600	86046	82080	78425	78425
32	137709	97225	95820	91888	88901	88901
33	98381	65249	63234	59215	58730	58730
34	118201	78899	76096	71670	69703	69703
35	68227	41190	39891	37139	36398	36397
36	108202	78511	73074	60619	58127	58124
38	70210	47803	42595	31750	30143	30138
37	74634	58564	53924	45156	43402	43399
39	81997	55608	50735	42425	40823	40820
40	62866	48445	44056	36169	34748	34746
41	104967	81913	76426	66545	63984	63977
42	127331	100402	93924	80053	76982	76972
10	157175	108922	107179	45156	96352	96351
7	85960	58383	56336	42425	47888	47862
8	85965	57104	54741	36169	48036	47998
3	206197	195451	191496	66545	172271	172270
4	198754	187776	184366	80053	166736	166733
5	142545	134819	127208	182409	111784	111763
6	193984	181831	172971	177498	153336	153299
22	203212	195348	194571	114367	183233	183230
23	176436	168956	168413	156946	160197	160197
26	242835	234110	233124	188030	219481	219479
27	304914	292782	291398	164073	275136	275120
