SampleID,sample_title,Primer_set,Type,Depth
1,PS99/48-Sea-ice-depth_0,V3V4,Sea ice,0
2,PS99/51-Sea-ice-depth_0,V3V4,Sea ice,0
3,FRAM_3435_Fevi_26_unten_1_5,V3V4,Sediment trap,2356
4,FRAM_3443_Fevi_26_unten_2_5,V3V4,Sediment trap,2356
5,FRAM_3459_Fevi_26_unten_11_5,V3V4,Sediment trap,2356
6,FRAM_3467_Fevi_26_unten_12_5,V3V4,Sediment trap,2356
7,PS101/97-Deep-water-depth_600,V3V4,Deep water,600
8,PS101/97-Deep-water-depth_853,V3V4,Deep water,853
9,PS99/53-Sea-ice-depth_0,V3V4,Sea ice,0
10,PS101/126-Surface-water-depth_10,V3V4,Surface water,10
11,PS101/126-Deep-water-depth_600,V3V4,Deep water,600
12,PS101/126-Deep-water-depth_1000,V3V4,Deep water,700
13,PS99/59-Sea-ice-depth_0,V3V4,Sea ice,0
14,PS101/149-Surface-water-depth_1.5,V3V4,Surface water,1.5
15,PS101/149-Deep-water-depth_600,V3V4,Deep water,600
16,PS101/149-Deep-water-depth_750,V3V4,Deep water,750
17,PS101/172-Surface-water-depth_1,V3V4,Surface water,1
18,PS101/172-Deep-water-depth_600,V3V4,Deep water,600
19,PS101/172-Deep-water-depth_620,V3V4,Deep water,620
20,PS101/175-Surface-water-depth_10,V3V4,Surface water,10
21,PS101/175-Deep-water-depth_1000,V3V4,Deep water,1000
22,PS99/43-Surface-water-depth_10,V3V4,Surface water,10
23,PS99/43-Surface-water-depth_28,V3V4,Surface water,28
24,PS99/51-Surface-water-depth_5,V3V4,Surface water,5
25,PS99/51-Surface-water-depth_13,V3V4,Surface water,13
26,PS99/62-Surface-water-depth_10,V3V4,Surface water,10
27,PS99/62-Surface-water-depth_20,V3V4,Surface water,20
28,FRAM_1078_Fevi_3_oben_1,V3V4,Sediment trap,280
29,FRAM_1098_Fevi_3_oben_6,V3V4,Sediment trap,280
30,FRAM_1122_Fevi_3_oben_12,V3V4,Sediment trap,280
31,FRAM_1150_Fevi_3_oben_19,V3V4,Sediment trap,280
32,FRAM_2963_Fevi_32_oben_2,V3V4,Sediment trap,205
33,FRAM_2987_Fevi_32_oben_8,V3V4,Sediment trap,205
34,FRAM_2999_Fevi_32_oben_11,V3V4,Sediment trap,205
35,FRAM_3031_Fevi_32_oben_19,V3V4,Sediment trap,205
36,PS99/48-Sediment-depth_5000,V3V4,Sediment,2604
37,PS99/51-Sediment-depth_5000,V3V4,Sediment,1002
38,PS99/57-Sediment-depth_5000,V3V4,Sediment,1540
39,PS99/42-Sediment-depth_5000,V3V4,Sediment,2460
40,PS99/52-Sediment-depth_5000,V3V4,Sediment,2620
41,PS99/53-Sediment-depth_5000,V3V4,Sediment,2604
42,PS99/41-Sediment-depth_5000,V3V4,Sediment,2344
