SampleID,sample_title,Primer_set,Type,Depth,Overlap_ID,,FISH,Seq_lane
1,FRAM_3435_Fevi_26_unten_1_5,V4V5,Sediment trap,2356,Jul2012_2356m,,,MiSeq_MISEQ:364
2,FRAM_3443_Fevi_26_unten_2_5,V4V5,Sediment trap,2356,Aug2012_2356m,,,MiSeq_MISEQ:364
3,FRAM_3459_Fevi_26_unten_11_5,V4V5,Sediment trap,2356,Feb2013_2356m,,,MiSeq_MISEQ:364
4,FRAM_3467_Fevi_26_unten_12_5,V4V5,Sediment trap,2356,Mar2013_2356m,,,MiSeq_MISEQ:364
5,FRAM_2987_Fevi_32_oben_8,V4V5,Sediment trap,205,Nov2015_205m,,,MiSeq_MISEQ:475
6,FRAM_2999_Fevi_32_oben_11,V4V5,Sediment trap,205,Feb2016_205m,,,MiSeq_MISEQ:475
7,FRAM_3031_Fevi_32_oben_19,V4V5,Sediment trap,205,Jun2016_205m,,,MiSeq_MISEQ:475
8,PS99/48-Sea-ice-depth:0,V4V5,Sea ice,0,PS99/48_0m,,,MiSeq_MISEQ:357
9,PS99/51-Sea-ice-depth:0,V4V5,Sea ice,0,PS99/51_0m,,,MiSeq_MISEQ:357
10,PS99/53-Sea-ice-depth:0,V4V5,Sea ice,0,PS99/53_0m,,,MiSeq_MISEQ:357
11,PS99/59-Sea-ice-depth:0,V4V5,Sea ice,0,PS99/59_0m,,,MiSeq_MISEQ:357
12,PS99/57-Sediment-depth:5000,V4V5,Sediment,1540,PS99/57_1540m,,,MiSeq_MISEQ:364
13,PS99/42-Sediment-depth:5000,V4V5,Sediment,2460,PS99/42_2460m,,,MiSeq_MISEQ:364
14,PS99/52-Sediment-depth:5000,V4V5,Sediment,2620,PS99/52_2620m,,,MiSeq_MISEQ:364
15,PS99/53-Sediment-depth:5000,V4V5,Sediment,2604,PS99/53_2604m,,,MiSeq_MISEQ:364
16,PS99/41-Sediment-depth:5000,V4V5,Sediment,2344,PS99/41_2344m,,,MiSeq_MISEQ:364
17,PS99/51-Sediment-depth:5000,V4V5,Sediment,1002,PS99/51_1002m,,yes,MiSeq_MISEQ:364
18,PS99/48-Sediment-depth:5000,V4V5,Sediment,2604,PS99/48_2604m,,,MiSeq_MISEQ:364
19,PS101/97-Deep-water-depth:600,V4V5,Deep water,600,PS101/97_600m,,,MiSeq_493:307
20,PS101/97-Deep-water-depth:853,V4V5,Deep water,853,PS101/97_853m,,yes,MiSeq_493:307
21,PS101/126-Surface-water-depth:10,V4V5,Surface water,10,PS101/126_10m,,,MiSeq_493:307
22,PS101/126-Deep-water-depth:600,V4V5,Deep water,600,PS101/126_600m,,,MiSeq_493:307
23,PS101/126-Deep-water-depth:1000,V4V5,Deep water,700,PS101/126_700m,,,MiSeq_493:307
24,PS101/149-Surface-water-depth:1.5,V4V5,Surface water,1.5,PS101/149_1.5m,,yes,MiSeq_493:307
25,PS101/149-Deep-water-depth:600,V4V5,Deep water,600,PS101/149_600m,,,MiSeq_493:307
26,PS101/149-Deep-water-depth:750,V4V5,Deep water,750,PS101/149_750m,,,MiSeq_493:307
27,PS101/172-Surface-water-depth:1,V4V5,Surface water,1,PS101/172_1m,,yes,MiSeq_493:307
28,PS101/172-Deep-water-depth:600,V4V5,Deep water,600,PS101/172_600m,,,MiSeq_493:307
29,PS101/172-Deep-water-depth:620,V4V5,Deep water,620,PS101/172_620m,,yes,MiSeq_493:307
30,PS101/175-Surface-water-depth:10,V4V5,Surface water,10,PS101/175_10m,,,MiSeq_493:307
31,PS101/175-Deep-water-depth:1000,V4V5,Deep water,1000,PS101/175_1000m,,,MiSeq_493:307
32,PS99/43-Surface-water-depth:10,V4V5,Surface water,10,PS99/43_10m,,,HiSeq
33,PS99/43-Surface-water-depth:28,V4V5,Surface water,28,PS99/43_28m,,,HiSeq
34,PS99/51-Surface-water-depth:5,V4V5,Surface water,5,PS99/51_5m,,,HiSeq
35,PS99/51-Surface-water-depth:13,V4V5,Surface water,13,PS99/51_13m,,,HiSeq
36,PS99/62-Surface-water-depth:10,V4V5,Surface water,10,PS99/62_10m,,,HiSeq
37,PS99/62-Surface-water-depth:20,V4V5,Surface water,20,PS99/62_20m,,,HiSeq
