input	filtered	denoised	merged	nochim	tabled
10	166506	156837	156170	130680	128827	128562
11	87520	80558	80083	63587	63080	60338
12	114563	95327	88253	74979	70333	70319
13	365571	305224	296425	273740	263252	263190
14	151719	127471	120933	108204	104576	104553
15	137113	110892	104852	93257	90405	90387
16	277631	231243	223274	202084	194874	194826
17	334946	278147	269993	250680	241351	241281
18	195846	161607	153946	137378	130362	130331
19	114799	78096	76545	65865	64036	64035
1	65137	55677	54482	51286	50671	50669
20	85792	53814	52219	44273	44024	44017
21	72239	51140	50756	45068	44892	44892
22	110859	75651	74264	65722	65092	65091
23	96316	62969	61555	52752	52030	52030
24	113152	80721	80292	76602	76345	76345
25	113055	77031	75671	65472	63804	63804
26	90230	59257	57784	49363	48138	48137
27	112069	80408	80052	75899	75629	75628
28	102200	68801	67453	58287	56602	56602
29	65680	44817	43763	37463	36842	36842
2	41562	34332	33496	31867	31647	31646
30	99011	71449	70776	66239	66115	66115
31	69065	46171	45143	39741	39187	39187
3	42799	36664	34747	30197	29155	29151
4	87606	72357	68680	59656	58065	58062
5	76579	65397	64407	55838	55235	55212
6	96625	84696	83322	80224	79642	79642
7	103508	90620	89577	80569	79954	79945
8	171765	161656	161103	136055	134702	133494
9	147296	139304	138655	116077	114388	114331
32	176065	170003	169469	146482	145842	145842
33	207043	199087	198394	164260	163777	163777
34	127645	122213	121809	80923	80477	80462
35	138385	133776	133251	104834	103568	103567
36	130662	125992	125530	98383	97718	97708
37	202440	195919	195240	166652	164634	164608
